class,clip_id,split,n_frames_orig,frame_idx_min,frame_idx_max,token_type,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,label_id
barbell biceps curl,barbell biceps curl|g19,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,data/barbell biceps curl/barbell biceps curl_g19.jpg,0
barbell biceps curl,barbell biceps curl|g2,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,data/barbell biceps curl/barbell biceps curl_g2.jpg,0
barbell biceps curl,barbell biceps curl|g20,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,data/barbell biceps curl/barbell biceps curl_g20.jpg,0
barbell biceps curl,barbell biceps curl|g3,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,data/barbell biceps curl/barbell biceps curl_g3.jpg,0
barbell biceps curl,barbell biceps curl|g4,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,data/barbell biceps curl/barbell biceps curl_g4.jpg,0
barbell biceps curl,barbell biceps curl|g5,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,data/barbell biceps curl/barbell biceps curl_g5.jpg,0
barbell biceps curl,barbell biceps curl|g6,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,data/barbell biceps curl/barbell biceps curl_g6.jpg,0
barbell biceps curl,barbell biceps curl|g7,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,data/barbell biceps curl/barbell biceps curl_g7.jpg,0
barbell biceps curl,barbell biceps curl|g8,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,data/barbell biceps curl/barbell biceps curl_g8.jpg,0
barbell biceps curl,barbell biceps curl|g9,train,1,,,alpha_num,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,data/barbell biceps curl/barbell biceps curl_g9.jpg,0
barbell biceps curl,barbell biceps curl|num_10,train,11,1.0,101.0,numeric,data/barbell biceps curl/barbell biceps curl_100001.jpg,data/barbell biceps curl/barbell biceps curl_100011.jpg,data/barbell biceps curl/barbell biceps curl_100021.jpg,data/barbell biceps curl/barbell biceps curl_100031.jpg,data/barbell biceps curl/barbell biceps curl_100041.jpg,data/barbell biceps curl/barbell biceps curl_100051.jpg,data/barbell biceps curl/barbell biceps curl_100061.jpg,data/barbell biceps curl/barbell biceps curl_100071.jpg,data/barbell biceps curl/barbell biceps curl_100081.jpg,data/barbell biceps curl/barbell biceps curl_100091.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,data/barbell biceps curl/barbell biceps curl_100101.jpg,0
barbell biceps curl,barbell biceps curl|num_100,train,9,1.0,81.0,numeric,data/barbell biceps curl/barbell biceps curl_1000001.jpg,data/barbell biceps curl/barbell biceps curl_1000011.jpg,data/barbell biceps curl/barbell biceps curl_1000021.jpg,data/barbell biceps curl/barbell biceps curl_1000031.jpg,data/barbell biceps curl/barbell biceps curl_1000041.jpg,data/barbell biceps curl/barbell biceps curl_1000051.jpg,data/barbell biceps curl/barbell biceps curl_1000061.jpg,data/barbell biceps curl/barbell biceps curl_1000071.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,data/barbell biceps curl/barbell biceps curl_1000081.jpg,0
barbell biceps curl,barbell biceps curl|num_110,train,7,1.0,61.0,numeric,data/barbell biceps curl/barbell biceps curl_1100001.jpg,data/barbell biceps curl/barbell biceps curl_1100011.jpg,data/barbell biceps curl/barbell biceps curl_1100021.jpg,data/barbell biceps curl/barbell biceps curl_1100031.jpg,data/barbell biceps curl/barbell biceps curl_1100041.jpg,data/barbell biceps curl/barbell biceps curl_1100051.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,data/barbell biceps curl/barbell biceps curl_1100061.jpg,0
barbell biceps curl,barbell biceps curl|num_120,train,12,1.0,111.0,numeric,data/barbell biceps curl/barbell biceps curl_1200001.jpg,data/barbell biceps curl/barbell biceps curl_1200011.jpg,data/barbell biceps curl/barbell biceps curl_1200021.jpg,data/barbell biceps curl/barbell biceps curl_1200031.jpg,data/barbell biceps curl/barbell biceps curl_1200041.jpg,data/barbell biceps curl/barbell biceps curl_1200051.jpg,data/barbell biceps curl/barbell biceps curl_1200061.jpg,data/barbell biceps curl/barbell biceps curl_1200071.jpg,data/barbell biceps curl/barbell biceps curl_1200081.jpg,data/barbell biceps curl/barbell biceps curl_1200091.jpg,data/barbell biceps curl/barbell biceps curl_1200101.jpg,data/barbell biceps curl/barbell biceps curl_1200111.jpg,data/barbell biceps curl/barbell biceps curl_1200111.jpg,data/barbell biceps curl/barbell biceps curl_1200111.jpg,data/barbell biceps curl/barbell biceps curl_1200111.jpg,data/barbell biceps curl/barbell biceps curl_1200111.jpg,0
barbell biceps curl,barbell biceps curl|num_130,train,12,1.0,111.0,numeric,data/barbell biceps curl/barbell biceps curl_1300001.jpg,data/barbell biceps curl/barbell biceps curl_1300011.jpg,data/barbell biceps curl/barbell biceps curl_1300021.jpg,data/barbell biceps curl/barbell biceps curl_1300031.jpg,data/barbell biceps curl/barbell biceps curl_1300041.jpg,data/barbell biceps curl/barbell biceps curl_1300051.jpg,data/barbell biceps curl/barbell biceps curl_1300061.jpg,data/barbell biceps curl/barbell biceps curl_1300071.jpg,data/barbell biceps curl/barbell biceps curl_1300081.jpg,data/barbell biceps curl/barbell biceps curl_1300091.jpg,data/barbell biceps curl/barbell biceps curl_1300101.jpg,data/barbell biceps curl/barbell biceps curl_1300111.jpg,data/barbell biceps curl/barbell biceps curl_1300111.jpg,data/barbell biceps curl/barbell biceps curl_1300111.jpg,data/barbell biceps curl/barbell biceps curl_1300111.jpg,data/barbell biceps curl/barbell biceps curl_1300111.jpg,0
barbell biceps curl,barbell biceps curl|num_140,train,6,1.0,51.0,numeric,data/barbell biceps curl/barbell biceps curl_1400001.jpg,data/barbell biceps curl/barbell biceps curl_1400011.jpg,data/barbell biceps curl/barbell biceps curl_1400021.jpg,data/barbell biceps curl/barbell biceps curl_1400031.jpg,data/barbell biceps curl/barbell biceps curl_1400041.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,data/barbell biceps curl/barbell biceps curl_1400051.jpg,0
barbell biceps curl,barbell biceps curl|num_150,train,5,1.0,41.0,numeric,data/barbell biceps curl/barbell biceps curl_1500001.jpg,data/barbell biceps curl/barbell biceps curl_1500011.jpg,data/barbell biceps curl/barbell biceps curl_1500021.jpg,data/barbell biceps curl/barbell biceps curl_1500031.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,data/barbell biceps curl/barbell biceps curl_1500041.jpg,0
barbell biceps curl,barbell biceps curl|num_160,train,6,1.0,51.0,numeric,data/barbell biceps curl/barbell biceps curl_1600001.jpg,data/barbell biceps curl/barbell biceps curl_1600011.jpg,data/barbell biceps curl/barbell biceps curl_1600021.jpg,data/barbell biceps curl/barbell biceps curl_1600031.jpg,data/barbell biceps curl/barbell biceps curl_1600041.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,data/barbell biceps curl/barbell biceps curl_1600051.jpg,0
barbell biceps curl,barbell biceps curl|num_170,val,6,1.0,51.0,numeric,data/barbell biceps curl/barbell biceps curl_1700001.jpg,data/barbell biceps curl/barbell biceps curl_1700011.jpg,data/barbell biceps curl/barbell biceps curl_1700021.jpg,data/barbell biceps curl/barbell biceps curl_1700031.jpg,data/barbell biceps curl/barbell biceps curl_1700041.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,data/barbell biceps curl/barbell biceps curl_1700051.jpg,0
